,platform,title,date,place,artist,url,imageUrl
42,Ticket Link,리차드 막스 콘서트,2017.10.14 ~ 2017.10.14,고려대학교 화정체육관,Null,www.ticketlink.co.kr/bridge/296,image.toast.com/aaaaab/ticketlink/TKL_5/ric-20170817seoul.jpg
43,Ticket Link,맘마미아 콘서트 - 경주,2017.10.14 ~ 2017.10.14,경주예술의전당,Null,www.ticketlink.co.kr/product/20431,image.toast.com/aaaaab/ticketlink/TKL_3/mom_KJ_0825.jpg
44,Ticket Link,더 바이브 패밀리 콘서트,2017.10.14 ~ 2017.10.14,한국소리문화의전당 야외공연장,Null,www.ticketlink.co.kr/product/20534,image.toast.com/aaaaab/ticketlink/TKL_4/theb-20170901po.jpg
45,Ticket Link,신세경 팬미팅 Serendipity,2017.10.14 ~ 2017.10.14,동서울아트홀 (강변역 동서울호텔 B2),Null,www.ticketlink.co.kr/product/20786,image.toast.com/aaaaab/ticketlink/TKL_9/ssk_mmmmmain_0907.jpg
46,Ticket Link,맘마미아 콘서트 - 거제,2017.10.15 ~ 2017.10.15,거제문화예술회관 대공연장,Null,www.ticketlink.co.kr/product/20430,image.toast.com/aaaaab/ticketlink/TKL_2/mam_GJ_main_0825.jpg
47,Ticket Link,2017 대구 K-pop 미친 콘서트 (with 이웃사랑),2017.10.15 ~ 2017.10.15,대구월드컵경기장,Null,www.ticketlink.co.kr/product/20818,image.toast.com/aaaaab/ticketlink/TKL_9/michinpst_0912.jpg
48,Ticket Link,맘마미아 콘서트 - 순천,2017.10.19 ~ 2017.10.19,순천문화예술회관,Null,www.ticketlink.co.kr/product/20433,image.toast.com/aaaaab/ticketlink/TKL_9/SUN-20170825.jpg
49,Ticket Link,맘마미아,2017.10.21 ~ 2017.10.21,의정부예술의전당,Null,www.ticketlink.co.kr/product/20607,image.toast.com/aaaaab/ticketlink/TKL_4/abba-20170904po.jpg
50,Ticket Link,성공 북 페스티벌,2017.10.21 ~ 2017.10.21,코엑스 오디토리움,Null,www.ticketlink.co.kr/product/20887,image.toast.com/aaaaab/ticketlink/TKL_7/book_0914.jpg
51,Ticket Link,맘마미아 콘서트 - 당진,2017.10.22 ~ 2017.10.22,당진 문예의전당,Null,www.ticketlink.co.kr/product/20432,image.toast.com/aaaaab/ticketlink/TKL_6/mom_dJ_main_0914.jpg
52,Ticket Link,키노코호텔(KINOCO HOTEL) 첫 내한공연,2017.10.28 ~ 2017.10.28,홍대 웨스트브릿지 라이브홀,Null,www.ticketlink.co.kr/product/20439,image.toast.com/aaaaab/ticketlink/TKL_2/kin-po20170828.jpg
53,Ticket Link,이은미 콘서트,2017.10.28 ~ 2017.10.28,경북대학교 대강당,Null,www.ticketlink.co.kr/product/20492,image.toast.com/aaaaab/ticketlink/TKL_6/lee-20170831-po.jpg
54,Ticket Link,수작콘서트 with 옥상달빛 - 대구,2017.11.11 ~ 2017.11.11,대덕문화전당 드림홀,Null,www.ticketlink.co.kr/product/20487,image.toast.com/aaaaab/ticketlink/TKL_1/su_main0830.jpg
55,InterPark Ticket,SF Music Festival - 2day Global K-pop Super Concert(SF뮤직 페스티벌 글로벌 케이팝 슈퍼콘서트),2017.09.24,대전월드컵경기장,"비투비, JJ Project, B.A.P, 방탄소년단, 레드벨벳, 위너, 현아, 여자친구, 젝스키스, 블랙핑크",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011581,http://ticketimage.interpark.com/Play/image/large/17/17011581_p.gif
56,InterPark Ticket,"2017 SKA Super-Swag festival 〈시즌3,수원〉",2017.11.04,수원월드컵경기장 보조경기장,"딥플로우, 우탄, 크러쉬, 넉살, 오디, 던밀스, 딘, 나플라, 창모",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012123,http://ticketimage.interpark.com/Play/image/large/17/17012123_p.gif
57,InterPark Ticket,정준일 오케스트라 콘서트,2017.12.02 ~ 2017.12.03,경희대학교 평화의전당,정준일,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012426,http://ticketimage.interpark.com/Play/image/large/17/17012426_p.gif
58,InterPark Ticket,아이유 데뷔 9주년 팬미팅,2017.09.24,이화여자대학교 삼성홀,아이유,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012058,http://ticketimage.interpark.com/Play/image/large/17/17012058_p.gif
59,InterPark Ticket,그랜드 민트 페스티벌 2017 - 공식 티켓,2017.10.21 ~ 2017.10.22,올림픽공원,"디어클라우드, 피터팬 컴플렉스, 페퍼톤스, 노리플라이, 짙은, 검정치마, 브로콜리 너마저, 루시아(심규선), 데이브레이크, 칵스, 옥상달빛, 박원, 10cm, 스탠딩에그, 박재범, 어반자카파, 소란, 정준일, 자이언티, 솔루션스, 슈가볼, 쏜애플, 빌리어코스티, 치즈, 잔나비, 이진아, 딘, 멜로망스, 윤딴딴, 샘김, 오왠, 창모, 폴킴, 포르테 디 콰트로",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010260,http://ticketimage.interpark.com/Play/image/large/17/17010260_p.gif
60,InterPark Ticket,［ 2017 Theatre 이문세 ］ - 성남,2017.11.10 ~ 2017.11.11,성남아트센터 오페라하우스,이문세,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011871,http://ticketimage.interpark.com/Play/image/large/17/17011871_p.gif
61,InterPark Ticket,2017 렛츠락페스티벌 Vol.11,2017.09.23 ~ 2017.09.24,난지한강공원 내 중앙잔디광장 / 잔디마당,"YB, 넬, 10cm, 노브레인, 자이언티, 글렌체크, 칵스, 디에이드, 백예린, 데이식스, 로맨틱펀치, 잔나비, 볼빨간사춘기, 소심한 오빠들, 오추프로젝트, 이승환, 슈가도넛, 크라잉넛, 이브, 이승열, 오지은, 갤럭시 익스프레스, 짙은, 검정치마, 가을방학, 박원, 성진환, 스탠딩에그, 어반자카파, 존박, 김지수, 술탄 오브 더 디스코, 장미여관, 프롬, 전기뱀장어, 형돈이와 대준이, 솔루션스, 쏜애플, 신현희와 김루트, 안녕하신가영, 라이프 앤 타임, 뷰티핸섬, 블루파프리카, 곽진언, 더 모노톤즈, 406호프로젝트, 마르멜로, 윤딴딴, 한올, 그_냥",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009446,http://ticketimage.interpark.com/Play/image/large/17/17009446_p.gif
62,InterPark Ticket,양희은 콘서트 - 용인,2017.10.07,용인 포은아트홀,양희은,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012249,http://ticketimage.interpark.com/Play/image/large/17/17012249_p.gif
63,InterPark Ticket,015B 콘서트 “Homecoming”,2017.10.21,KBS 아레나,"015B, 윤종신",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012134,http://ticketimage.interpark.com/Play/image/large/17/17012134_p.gif
64,InterPark Ticket,못(Mot) 단독 공연 ‘재와 연기의 노래’ (original / acoustic),2017.11.04 ~ 2017.11.05,KT＆G 상상마당 대치아트홀,못,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012236,http://ticketimage.interpark.com/Play/image/large/17/17012236_p.gif
65,InterPark Ticket,이승환 〈공연의끝：High End〉 - 서울,2017.12.01 ~ 2017.12.03,올림픽공원 내 올림픽홀,이승환,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011441,http://ticketimage.interpark.com/Play/image/large/17/17011441_p.gif
66,InterPark Ticket,2017 조이올팍페스티벌,2017.09.23 ~ 2017.09.24,올림픽공원 일원,"최백호, 자우림, 싸이, 김제동, 데이브레이크, 박명수, 슈가볼, 빌리어코스티, 바버렛츠, 지소울, 마마무, 헤이즈, 딘, 포르테 디 콰트로, 1415, 예인",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009696,http://ticketimage.interpark.com/Play/image/large/17/17009696_p.gif
